Symbol,Date,Jahr,Monat,Wochentag,KW,Quartal,Open,High,Low,Close,Volume,Rendite_Tag,Spanne_Pct,Index_100,MA_20,MA_50,MA_200,Vol_20d_Ann,Drawdown_Pct,Vol_Avg_20d
ASML,2020-01-02,2020,1,4,1,1,301.27,303.32,300.61,302.83,573600,,0.009015,100.0,302.83,302.83,302.83,,0.0,573600.0
ASML,2020-01-03,2020,1,5,1,1,298.04,300.75,297.66,297.95,410800,-0.016115,0.010381,98.39,300.39,300.39,300.39,,-0.0161,492200.0
ASML,2020-01-06,2020,1,1,2,1,293.17,295.72,292.43,295.58,617600,-0.007954,0.011251,97.61,298.7867,298.7867,298.7867,0.0916,-0.0239,534000.0
ASML,2020-01-07,2020,1,2,2,1,298.67,301.22,297.41,298.79,477700,0.01086,0.012811,98.67,298.7875,298.7875,298.7875,0.2196,-0.0133,519925.0
ASML,2020-01-08,2020,1,3,2,1,300.66,303.19,299.94,301.89,536900,0.010375,0.010836,99.69,299.408,299.408,299.408,0.2143,-0.0031,523320.0
ASML,2020-01-09,2020,1,4,2,1,303.28,303.91,300.27,301.38,579700,-0.001689,0.012122,99.52,299.7367,299.7367,299.7367,0.1857,-0.0048,532717.0
ASML,2020-01-10,2020,1,5,2,1,300.05,300.51,295.56,296.18,447700,-0.017254,0.016748,97.8,299.2286,299.2286,299.2286,0.197,-0.022,520571.0
ASML,2020-01-13,2020,1,1,3,1,298.68,301.62,297.5,301.45,405700,0.017793,0.013849,99.54,299.5063,299.5063,299.5063,0.2211,-0.0046,506213.0
ASML,2020-01-14,2020,1,2,3,1,299.15,305.9,298.47,302.55,609600,0.003649,0.024894,99.91,299.8444,299.8444,299.8444,0.206,-0.0009,517700.0
ASML,2020-01-15,2020,1,3,3,1,301.6,302.95,299.75,300.08,505300,-0.008164,0.010676,99.09,299.868,299.868,299.868,0.1974,-0.0091,516460.0
ASML,2020-01-16,2020,1,4,3,1,302.55,302.94,299.55,301.08,547500,0.003332,0.011317,99.42,299.9782,299.9782,299.9782,0.1874,-0.0058,519282.0
ASML,2020-01-17,2020,1,5,3,1,300.9,301.05,299.27,300.04,743900,-0.003454,0.005948,99.08,299.9833,299.9833,299.9833,0.1783,-0.0092,538000.0
ASML,2020-01-21,2020,1,2,4,1,298.11,301.25,297.47,298.4,573000,-0.005466,0.012707,98.54,299.8615,299.8615,299.8615,0.1714,-0.0146,540692.0
ASML,2020-01-22,2020,1,3,4,1,300.56,301.66,296.01,296.25,1108600,-0.007205,0.019087,97.83,299.6036,299.6036,299.6036,0.1662,-0.0217,581257.0
ASML,2020-01-23,2020,1,4,4,1,296.93,297.1,291.56,294.32,713000,-0.006515,0.019001,97.19,299.2513,299.2513,299.2513,0.161,-0.0281,590040.0
ASML,2020-01-24,2020,1,5,4,1,296.89,299.33,294.49,295.83,977800,0.00513,0.016435,97.69,299.0375,299.0375,299.0375,0.1579,-0.0231,614275.0
ASML,2020-01-27,2020,1,1,5,1,287.16,288.62,283.77,284.28,889100,-0.039043,0.017091,93.87,298.1694,298.1694,298.1694,0.2132,-0.0613,630441.0
ASML,2020-01-28,2020,1,2,5,1,286.23,290.26,285.16,290.18,1636100,0.020754,0.017885,95.82,297.7256,297.7256,297.7256,0.2271,-0.0418,686311.0
ASML,2020-01-29,2020,1,3,5,1,296.07,298.29,293.71,296.14,965500,0.020539,0.015594,97.79,297.6421,297.6421,297.6421,0.2365,-0.0221,701005.0
ASML,2020-01-30,2020,1,4,5,1,290.79,294.7,290.54,294.38,794100,-0.005943,0.014318,97.21,297.479,297.479,297.479,0.2305,-0.0279,705660.0
ASML,2020-01-31,2020,1,5,5,1,288.0,288.25,280.17,280.66,1272600,-0.046606,0.02884,92.68,296.3705,296.6781,296.6781,0.2759,-0.0732,740610.0
ASML,2020-02-03,2020,2,1,6,1,283.63,288.85,283.32,288.16,823200,0.026723,0.019519,95.16,295.881,296.2909,296.2909,0.2916,-0.0484,761230.0
ASML,2020-02-04,2020,2,2,6,1,294.91,299.26,294.23,299.23,795300,0.038416,0.017095,98.81,296.0635,296.4187,296.4187,0.3228,-0.0119,770115.0
ASML,2020-02-05,2020,2,3,6,1,307.35,307.35,303.05,306.32,1042000,0.023694,0.014189,101.15,296.44,296.8313,296.8313,0.3312,0.0,798330.0
ASML,2020-02-06,2020,2,4,6,1,307.53,309.61,306.62,309.55,698000,0.010544,0.009751,102.22,296.823,297.34,297.34,0.3313,0.0,806385.0
ASML,2020-02-07,2020,2,5,6,1,304.67,305.63,303.2,304.97,1775900,-0.014796,0.008014,100.71,297.0025,297.6335,297.6335,0.3362,-0.0148,866195.0
ASML,2020-02-10,2020,2,1,7,1,304.04,309.7,304.0,309.68,373000,0.015444,0.01875,102.26,297.6775,298.0796,298.0796,0.3329,0.0,862460.0
ASML,2020-02-11,2020,2,2,7,1,313.04,316.27,313.01,316.01,789900,0.020441,0.010415,104.35,298.4055,298.72,298.72,0.3346,0.0,881670.0
ASML,2020-02-12,2020,2,3,7,1,315.63,317.71,315.25,317.44,656100,0.004525,0.007803,104.82,299.15,299.3655,299.3655,0.3347,0.0,883995.0
ASML,2020-02-13,2020,2,4,7,1,314.95,318.37,314.02,317.25,742200,-0.000599,0.013853,104.76,300.0085,299.9617,299.9617,0.3325,-0.0006,895840.0
ASML,2020-02-14,2020,2,5,7,1,317.37,319.22,314.51,316.3,661400,-0.002995,0.014976,104.45,300.7695,300.4887,300.4887,0.3332,-0.0036,901535.0
ASML,2020-02-18,2020,2,2,8,1,307.4,310.21,306.89,309.18,757100,-0.02251,0.010818,102.1,301.2265,300.7603,300.7603,0.3445,-0.026,902195.0
ASML,2020-02-19,2020,2,3,8,1,311.15,317.63,311.0,317.39,1093900,0.026554,0.021318,104.81,302.176,301.2642,301.2642,0.3543,-0.0002,928240.0
ASML,2020-02-20,2020,2,4,8,1,315.85,316.58,310.44,313.47,1118400,-0.012351,0.019778,103.51,303.037,301.6232,301.6232,0.3568,-0.0125,928730.0
ASML,2020-02-21,2020,2,5,8,1,310.2,310.83,304.73,306.0,1134600,-0.02383,0.020018,101.05,303.621,301.7483,301.7483,0.368,-0.036,949810.0
ASML,2020-02-24,2020,2,1,9,1,289.05,295.23,288.27,290.4,1347400,-0.05098,0.024144,95.9,303.3495,301.4331,301.4331,0.4133,-0.0852,968290.0
ASML,2020-02-25,2020,2,2,9,1,295.55,295.93,284.44,284.59,1166700,-0.020007,0.040395,93.98,303.365,300.9778,300.9778,0.3949,-0.1035,982170.0
ASML,2020-02-26,2020,2,3,9,1,289.45,292.31,285.59,286.32,861100,0.006079,0.02353,94.55,303.172,300.5921,300.5921,0.3882,-0.098,943420.0
ASML,2020-02-27,2020,2,4,9,1,278.86,286.85,275.87,277.23,1373900,-0.031748,0.039801,91.55,302.2265,299.9931,299.9931,0.3951,-0.1267,963840.0
ASML,2020-02-28,2020,2,5,9,1,267.81,277.46,265.98,276.71,1647400,-0.001876,0.043161,91.37,301.343,299.411,299.411,0.395,-0.1283,1006505.0
ASML,2020-03-02,2020,3,1,10,1,279.62,287.49,275.47,287.49,1081300,0.038958,0.043634,94.93,301.6845,299.1202,299.1202,0.3858,-0.0943,996940.0
ASML,2020-03-03,2020,3,2,10,1,292.93,296.85,282.22,284.3,1916300,-0.011096,0.051839,93.88,301.4915,298.7674,298.7674,0.3762,-0.1044,1051595.0
ASML,2020-03-04,2020,3,3,10,1,292.39,301.99,289.98,301.61,1289500,0.060886,0.041417,99.6,301.6105,298.8335,298.8335,0.4136,-0.0499,1076305.0
ASML,2020-03-05,2020,3,4,10,1,291.04,295.94,286.04,288.25,1453900,-0.044296,0.034611,95.19,300.707,298.593,298.593,0.4334,-0.092,1096900.0
ASML,2020-03-06,2020,3,5,10,1,284.46,288.24,281.29,288.11,1148400,-0.000486,0.024708,95.14,299.635,298.36,298.36,0.4307,-0.0924,1119420.0
ASML,2020-03-09,2020,3,1,11,1,265.45,276.37,263.86,263.91,1759600,-0.083996,0.047412,87.15,297.582,297.6111,297.6111,0.5168,-0.1686,1118605.0
ASML,2020-03-10,2020,3,2,11,1,277.99,280.35,265.0,279.76,1699200,0.060058,0.057925,92.38,296.086,297.2313,297.2313,0.5642,-0.1187,1184915.0
ASML,2020-03-11,2020,3,3,11,1,272.51,274.33,260.56,264.14,1175900,-0.055834,0.052848,87.22,293.4925,296.5419,296.5419,0.5842,-0.1679,1204215.0
ASML,2020-03-12,2020,3,4,11,1,245.42,254.86,237.55,240.75,2779800,-0.088552,0.072869,79.5,289.658,295.4033,295.4033,0.6472,-0.2416,1310400.0
ASML,2020-03-13,2020,3,5,11,1,257.06,257.86,233.84,256.95,2637200,0.06729,0.10272,84.85,286.643,294.6342,294.6342,0.7065,-0.1906,1405150.0
ASML,2020-03-16,2020,3,1,12,1,220.65,248.21,209.62,229.36,1496800,-0.107375,0.184095,75.74,282.296,293.1648,293.3543,0.7863,-0.2775,1446920.0
ASML,2020-03-17,2020,3,2,12,1,231.55,239.98,225.02,238.34,1642500,0.039152,0.066483,78.7,278.754,291.9726,292.2963,0.8084,-0.2492,1491190.0
ASML,2020-03-18,2020,3,3,12,1,213.36,226.29,191.25,196.99,3131900,-0.173492,0.183216,65.05,272.734,290.0008,290.4981,0.9772,-0.3794,1593090.0
ASML,2020-03-19,2020,3,4,12,1,205.81,219.24,200.59,214.03,1634600,0.086502,0.092976,70.68,267.762,288.3056,289.082,1.05,-0.3258,1618900.0
ASML,2020-03-20,2020,3,5,12,1,225.15,237.32,215.59,216.1,2316700,0.009672,0.100793,71.36,263.267,286.5898,287.7551,1.0537,-0.3192,1678005.0
ASML,2020-03-23,2020,3,1,13,1,225.33,235.3,222.67,233.15,1731500,0.078899,0.056721,76.99,260.4045,285.2252,286.78,1.095,-0.2655,1697210.0
ASML,2020-03-24,2020,3,2,13,1,254.33,260.53,250.8,260.21,1427600,0.116063,0.038796,85.93,259.1855,284.5058,286.3139,1.1794,-0.1803,1710255.0
ASML,2020-03-25,2020,3,3,13,1,260.67,272.34,251.95,262.07,1211300,0.007148,0.080929,86.54,257.973,283.7182,285.8959,1.1795,-0.1744,1727765.0
ASML,2020-03-26,2020,3,4,13,1,262.89,277.14,261.61,275.9,1018600,0.052772,0.059363,91.11,257.9065,283.1852,285.7264,1.1891,-0.1309,1710000.0
