Symbol,Woche,Jahr,Monat,KW,Quartal,Open_Woche,Close_Woche,High_Woche,Low_Woche,Volume_Woche,Volume_Avg,Rendite_Woche,Vol_Woche,Vol_Annualisiert,Handelstage,Best_Day,Worst_Day
ASML,2019-12-30 00:00:00,2020,1,1,1,298.04,297.95,300.75,297.66,410800,410800.0,-0.000302,,,1,-0.016115,-0.016115
ASML,2020-01-06 00:00:00,2020,1,2,1,293.17,296.18,303.91,292.43,2659600,531920.0,0.010267,0.026995,0.191646,5,0.01086,-0.017254
ASML,2020-01-13 00:00:00,2020,1,3,1,298.68,300.04,305.9,297.5,2812000,562400.0,0.004553,0.021937,0.155735,5,0.017793,-0.008164
ASML,2020-01-20 00:00:00,2020,1,4,1,298.11,295.83,301.66,291.56,3372400,843100.0,-0.007648,0.012985,0.092181,4,0.00513,-0.007205
ASML,2020-01-27 00:00:00,2020,1,5,1,287.16,280.66,298.29,280.17,5557400,1111480.0,-0.022635,0.0714,0.50689,5,0.020754,-0.046606
ASML,2020-02-03 00:00:00,2020,2,6,1,283.63,304.97,309.61,283.32,5134400,1026880.0,0.075239,0.045423,0.322474,5,0.038416,-0.014796
ASML,2020-02-10 00:00:00,2020,2,7,1,304.04,316.3,319.22,304.0,3222600,644520.0,0.040324,0.022778,0.161708,5,0.020441,-0.002995
ASML,2020-02-17 00:00:00,2020,2,8,1,307.4,306.0,317.63,304.73,4104000,1026000.0,-0.004554,0.052821,0.374992,4,0.026554,-0.02383
ASML,2020-02-24 00:00:00,2020,2,9,1,289.05,276.71,295.93,265.98,6396500,1279300.0,-0.042692,0.051307,0.364245,5,0.006079,-0.05098
ASML,2020-03-02 00:00:00,2020,3,10,1,279.62,288.11,301.99,275.47,6889400,1377880.0,0.030363,0.09303,0.66045,5,0.060886,-0.044296
ASML,2020-03-09 00:00:00,2020,3,11,1,265.45,256.95,280.35,233.84,10051700,2010340.0,-0.032021,0.173593,1.232386,5,0.06729,-0.088552
ASML,2020-03-16 00:00:00,2020,3,12,1,220.65,216.1,248.21,191.25,10222500,2044500.0,-0.020621,0.241095,1.711605,5,0.086502,-0.173492
ASML,2020-03-23 00:00:00,2020,3,13,1,225.33,252.62,277.14,222.67,6907300,1381460.0,0.121111,0.172616,1.225451,5,0.116063,-0.084378
ASML,2020-03-30 00:00:00,2020,3,14,1,263.57,261.64,270.13,259.0,2024200,1012100.0,-0.007323,0.134147,0.952349,2,0.061001,-0.023841
ASML,2020-03-30 00:00:00,2020,4,14,2,253.13,244.61,257.68,242.25,2076000,692000.0,-0.033659,0.051048,0.362407,3,-0.006947,-0.048273
ASML,2020-04-06 00:00:00,2020,4,15,2,260.0,276.81,285.13,259.42,3196400,799100.0,0.064654,0.116325,0.825828,4,0.108417,-0.006354
ASML,2020-04-13 00:00:00,2020,4,16,2,274.85,295.65,301.43,272.01,6088700,1217740.0,0.075678,0.070208,0.498424,5,0.054104,-0.022289
ASML,2020-04-20 00:00:00,2020,4,17,2,291.65,291.84,298.01,278.57,2964600,592920.0,0.000651,0.073538,0.522071,5,0.049379,-0.035976
ASML,2020-04-27 00:00:00,2020,4,18,2,293.79,288.43,304.76,287.06,3035400,758850.0,-0.018244,0.08466,0.601029,4,0.042173,-0.050311
ASML,2020-04-27 00:00:00,2020,5,18,2,283.86,279.06,283.86,278.2,862800,862800.0,-0.01691,,,1,-0.032486,-0.032486
ASML,2020-05-04 00:00:00,2020,5,19,2,279.6,304.4,304.51,275.96,3662300,732460.0,0.088698,0.012005,0.085227,5,0.026345,0.012311
ASML,2020-05-11 00:00:00,2020,5,20,2,298.6,292.54,305.9,283.31,4391600,878320.0,-0.020295,0.053785,0.381839,5,0.028277,-0.033085
ASML,2020-05-18 00:00:00,2020,5,21,2,297.69,319.36,326.26,297.66,3773900,754780.0,0.072794,0.075686,0.537319,5,0.063314,-0.020421
ASML,2020-05-25 00:00:00,2020,5,22,2,322.46,329.51,329.98,311.11,2795900,698975.0,0.021863,0.033596,0.238504,4,0.029815,-0.004158
ASML,2020-06-01 00:00:00,2020,6,23,2,323.88,357.22,364.16,323.5,3721000,744200.0,0.102939,0.036151,0.256649,5,0.034565,-0.008437
ASML,2020-06-08 00:00:00,2020,6,24,2,350.97,343.07,353.42,332.8,4501100,900220.0,-0.022509,0.061395,0.435859,5,0.030581,-0.0432
ASML,2020-06-15 00:00:00,2020,6,25,2,337.51,360.67,368.14,336.63,3454100,690820.0,0.06862,0.033804,0.239984,5,0.029428,-0.00974
ASML,2020-06-22 00:00:00,2020,6,26,2,362.38,361.76,371.8,358.58,2730200,546040.0,-0.001711,0.029374,0.208534,5,0.013745,-0.013801
ASML,2020-06-29 00:00:00,2020,6,27,2,362.93,368.03,368.91,358.11,1291400,645700.0,0.014052,0.000626,0.004445,2,0.008827,0.008431
ASML,2020-06-29 00:00:00,2020,7,27,3,368.03,373.22,375.88,365.27,966000,483000.0,0.014102,0.026108,0.185347,2,0.015316,-0.001196
ASML,2020-07-06 00:00:00,2020,7,28,3,386.28,395.85,399.19,381.87,3074500,614900.0,0.024775,0.038274,0.271721,5,0.032796,-0.008924
ASML,2020-07-13 00:00:00,2020,7,29,3,397.86,383.59,402.87,372.51,6893600,1378720.0,-0.035867,0.072588,0.515322,5,0.026077,-0.053927
ASML,2020-07-20 00:00:00,2020,7,30,3,383.91,367.68,394.55,366.77,5126100,1025220.0,-0.042276,0.06433,0.4567,5,0.022875,-0.043073
ASML,2020-07-27 00:00:00,2020,7,31,3,377.99,353.72,383.79,350.74,4994300,998860.0,-0.064208,0.061384,0.43578,5,0.038349,-0.031194
ASML,2020-08-03 00:00:00,2020,8,32,3,361.02,366.07,373.21,359.82,3261700,652340.0,0.013988,0.040096,0.284651,5,0.036441,-0.008558
ASML,2020-08-10 00:00:00,2020,8,33,3,364.76,371.1,378.14,359.54,2754900,550980.0,0.017381,0.044425,0.315388,5,0.037364,-0.01122
ASML,2020-08-17 00:00:00,2020,8,34,3,376.66,372.12,383.98,365.54,2352700,470540.0,-0.012053,0.024992,0.177424,5,0.019968,-0.007388
ASML,2020-08-24 00:00:00,2020,8,35,3,380.25,379.47,386.8,373.24,2512800,502560.0,-0.002051,0.037233,0.26433,5,0.015774,-0.025135
ASML,2020-08-31 00:00:00,2020,8,36,3,375.92,374.18,378.44,373.31,533300,533300.0,-0.004629,,,1,-0.013941,-0.013941
ASML,2020-08-31 00:00:00,2020,9,36,3,384.11,367.42,401.15,352.86,4003600,1000900.0,-0.043451,0.097248,0.69039,4,0.033994,-0.056037
ASML,2020-09-07 00:00:00,2020,9,37,3,345.37,359.23,367.15,343.25,3745600,936400.0,0.040131,0.083268,0.591142,4,0.034605,-0.054624
ASML,2020-09-14 00:00:00,2020,9,38,3,369.77,366.34,374.76,355.14,4079900,815980.0,-0.009276,0.037805,0.268389,5,0.024246,-0.021256
ASML,2020-09-21 00:00:00,2020,9,39,3,355.31,360.48,366.58,351.09,3831400,766280.0,0.014551,0.025363,0.180062,5,0.007272,-0.019416
ASML,2020-09-28 00:00:00,2020,10,40,4,375.53,370.0,382.65,370.0,1603200,801600.0,-0.014726,0.10426,0.740175,2,0.034501,-0.031439
ASML,2020-09-28 00:00:00,2020,9,40,3,365.9,369.27,375.88,364.35,2298500,766167.0,0.00921,0.046957,0.333364,3,0.02935,-0.012647
ASML,2020-10-05 00:00:00,2020,10,41,4,375.15,388.99,389.98,368.56,3113400,622680.0,0.036892,0.05476,0.388759,5,0.03273,-0.031405
ASML,2020-10-12 00:00:00,2020,10,42,4,395.43,386.9,409.11,380.72,4203700,840740.0,-0.021571,0.050457,0.358207,5,0.025836,-0.028792
ASML,2020-10-19 00:00:00,2020,10,43,4,392.19,378.56,392.27,374.14,2187900,437580.0,-0.034754,0.02238,0.158881,5,0.008149,-0.019582
ASML,2020-10-26 00:00:00,2020,10,44,4,371.55,361.21,374.88,357.38,4452100,890420.0,-0.027829,0.046084,0.327164,5,0.022047,-0.029242
ASML,2020-11-02 00:00:00,2020,11,45,4,364.48,406.24,407.5,361.72,5984400,1196880.0,0.114574,0.024577,0.174477,5,0.039661,0.011074
ASML,2020-11-09 00:00:00,2020,11,46,4,417.04,419.59,421.38,397.98,4913600,982720.0,0.006115,0.058265,0.413641,5,0.046957,-0.017301
ASML,2020-11-16 00:00:00,2020,11,47,4,419.95,423.59,428.4,416.87,3013600,602720.0,0.008668,0.019171,0.1361,5,0.016492,-0.006261
ASML,2020-11-23 00:00:00,2020,11,48,4,427.99,437.77,438.72,420.75,1947100,486775.0,0.022851,0.040351,0.286461,4,0.033744,-0.006742
ASML,2020-11-30 00:00:00,2020,12,49,4,447.1,464.39,464.5,444.26,3074500,768625.0,0.038671,0.028115,0.199597,4,0.026295,0.003918
ASML,2020-11-30 00:00:00,2020,11,49,4,440.54,437.73,441.29,433.67,508500,508500.0,-0.006379,,,1,-9.1e-05,-9.1e-05
ASML,2020-12-07 00:00:00,2020,12,50,4,464.56,452.63,471.01,449.12,3291900,658380.0,-0.02568,0.041523,0.294787,5,0.011499,-0.033464
ASML,2020-12-14 00:00:00,2020,12,51,4,452.34,477.24,481.32,452.17,2918200,583640.0,0.055047,0.033418,0.237242,5,0.036005,-0.000126
ASML,2020-12-21 00:00:00,2020,12,52,4,460.26,483.09,484.6,459.48,1715200,428800.0,0.049602,0.027938,0.198343,4,0.017846,-0.010435
ASML,2020-12-28 00:00:00,2020,12,53,4,487.14,487.72,492.66,478.43,1521100,380275.0,0.001191,0.020068,0.142468,4,0.01219,-0.0059
ASML,2021-01-04 00:00:00,2021,1,1,1,499.99,508.74,514.28,489.74,5206100,1041220.0,0.0175,0.050067,0.355441,5,0.025178,-0.029959
ASML,2021-01-11 00:00:00,2021,1,2,1,500.5,527.5,546.4,499.43,4187900,837580.0,0.053946,0.073971,0.52514,5,0.059507,-0.031488
ASML,2021-01-18 00:00:00,2021,1,3,1,533.0,569.45,573.8,530.61,4799600,1199900.0,0.068386,0.053712,0.381317,4,0.041706,-0.00226
ASML,2021-01-25 00:00:00,2021,1,4,1,562.15,534.16,568.22,522.5,5196900,1039380.0,-0.049791,0.076894,0.545891,5,0.043059,-0.04439
ASML,2021-02-01 00:00:00,2021,2,5,1,547.4,552.81,556.79,541.95,3222800,644560.0,0.009883,0.051312,0.364278,5,0.037873,-0.019133
ASML,2021-02-08 00:00:00,2021,2,6,1,557.97,597.99,601.46,557.97,3366600,673320.0,0.071724,0.038033,0.270004,5,0.04343,0.002458
ASML,2021-02-15 00:00:00,2021,2,7,1,605.58,594.4,608.71,576.05,2985000,746250.0,-0.018462,0.045213,0.32098,4,0.020464,-0.025798
ASML,2021-02-22 00:00:00,2021,2,8,1,587.62,567.09,595.96,559.66,5016600,1003320.0,-0.034938,0.079858,0.566932,5,0.032878,-0.059226
ASML,2021-03-01 00:00:00,2021,3,9,1,572.37,527.04,584.36,502.09,5455100,1091020.0,-0.079197,0.094015,0.667439,5,0.0324,-0.06089
ASML,2021-03-08 00:00:00,2021,3,10,1,526.44,537.63,548.49,501.11,5022300,1004460.0,0.021256,0.113467,0.805533,5,0.074334,-0.04715
ASML,2021-03-15 00:00:00,2021,3,11,1,538.67,547.42,566.05,536.01,4270000,854000.0,0.016244,0.051988,0.369077,5,0.018548,-0.036421
ASML,2021-03-22 00:00:00,2021,3,12,1,567.64,625.67,627.3,555.5,7227000,1445400.0,0.10223,0.088006,0.624782,5,0.071353,-0.029723
ASML,2021-03-29 00:00:00,2021,3,13,1,614.76,617.36,620.94,595.52,3866100,1288700.0,0.004229,0.062872,0.446348,3,0.026726,-0.028242
ASML,2021-03-29 00:00:00,2021,4,13,2,619.8,637.1,639.49,619.75,1908300,1908300.0,0.027912,,,1,0.031975,0.031975
ASML,2021-04-05 00:00:00,2021,4,14,2,651.65,634.32,653.0,618.38,5129300,1025860.0,-0.026594,0.034246,0.243126,5,0.021259,-0.019501
ASML,2021-04-12 00:00:00,2021,4,15,2,631.56,645.69,647.94,620.62,3753600,750720.0,0.022373,0.020222,0.143561,5,0.017591,-0.006133
ASML,2021-04-19 00:00:00,2021,4,16,2,637.64,670.91,671.28,612.78,6630800,1326160.0,0.052177,0.087315,0.619878,5,0.062486,-0.024129
ASML,2021-04-26 00:00:00,2021,4,17,2,666.96,648.1,675.65,645.7,3130000,626000.0,-0.028278,0.022107,0.156942,5,0.003535,-0.021706
ASML,2021-05-03 00:00:00,2021,5,18,2,657.71,658.57,661.29,615.91,4317900,863580.0,0.001308,0.055534,0.394251,5,0.022085,-0.038858
ASML,2021-05-10 00:00:00,2021,5,19,2,648.3,647.76,651.14,600.26,5648700,1129740.0,-0.000833,0.094527,0.671073,5,0.039593,-0.047542
ASML,2021-05-17 00:00:00,2021,5,20,2,631.89,639.22,652.25,606.64,4558100,911620.0,0.0116,0.041762,0.296481,5,0.02852,-0.019158
ASML,2021-05-24 00:00:00,2021,5,21,2,647.5,675.47,679.44,645.76,3743200,748640.0,0.043197,0.036641,0.260125,5,0.030866,-0.009698
ASML,2021-05-31 00:00:00,2021,6,22,2,684.74,683.3,688.09,660.11,3031900,757975.0,-0.002103,0.037349,0.265149,4,0.026145,-0.012165
ASML,2021-06-07 00:00:00,2021,6,23,2,680.18,697.03,704.78,676.48,2843000,568600.0,0.024773,0.027296,0.193786,5,0.025418,-0.004157
ASML,2021-06-14 00:00:00,2021,6,24,2,699.51,671.07,710.97,668.57,4154800,830960.0,-0.040657,0.046706,0.331582,5,0.017646,-0.039724
ASML,2021-06-21 00:00:00,2021,6,25,2,678.5,686.21,697.96,672.4,2531700,506340.0,0.011363,0.030378,0.215664,5,0.019585,-0.012647
ASML,2021-06-28 00:00:00,2021,6,26,2,698.93,690.84,705.8,686.59,1791400,597133.0,-0.011575,0.049909,0.354315,3,0.026085,-0.018247
ASML,2021-06-28 00:00:00,2021,7,26,3,687.24,687.54,691.68,674.53,1447200,723600.0,0.000437,0.045545,0.323335,2,0.012115,-0.01669
ASML,2021-07-05 00:00:00,2021,7,27,3,689.44,691.36,695.72,664.83,2664600,666150.0,0.002785,0.046451,0.329766,4,0.026229,-0.023892
ASML,2021-07-12 00:00:00,2021,7,28,3,700.0,687.42,723.01,686.87,3401500,680300.0,-0.017971,0.045107,0.320229,5,0.023794,-0.023468
ASML,2021-07-19 00:00:00,2021,7,29,3,673.85,748.14,756.78,671.59,4958000,991600.0,0.110247,0.052727,0.374322,5,0.054017,-0.004975
ASML,2021-07-26 00:00:00,2021,7,30,3,758.2,766.74,768.7,733.06,3411700,682340.0,0.011264,0.024831,0.176282,5,0.019126,-0.011259
ASML,2021-08-02 00:00:00,2021,8,31,3,770.81,783.28,805.64,767.51,2943900,588780.0,0.016178,0.029842,0.211854,5,0.020461,-0.014432
ASML,2021-08-09 00:00:00,2021,8,32,3,790.22,788.96,797.04,776.54,2707200,541440.0,-0.001594,0.017536,0.124495,5,0.010102,-0.010327
ASML,2021-08-16 00:00:00,2021,8,33,3,787.83,788.18,790.97,761.21,2383800,476760.0,0.000444,0.023192,0.164643,5,0.011729,-0.013704
ASML,2021-08-23 00:00:00,2021,8,34,3,795.03,832.92,834.77,794.57,2758100,551620.0,0.047659,0.036538,0.259393,5,0.029739,-0.007405
ASML,2021-08-30 00:00:00,2021,9,35,3,838.72,858.11,862.98,836.69,2026700,675567.0,0.023119,0.029545,0.209746,3,0.022691,-0.003681
ASML,2021-08-30 00:00:00,2021,8,35,3,839.94,833.04,844.16,827.21,1070300,535150.0,-0.008215,0.024996,0.177456,2,0.008008,-0.007801
ASML,2021-09-06 00:00:00,2021,9,36,3,865.29,858.87,875.36,849.92,3275100,818775.0,-0.007419,0.013177,0.093548,4,0.006292,-0.005233
ASML,2021-09-13 00:00:00,2021,9,37,3,869.22,859.85,895.93,852.41,4895900,979180.0,-0.01078,0.043942,0.31196,5,0.019317,-0.030947
ASML,2021-09-20 00:00:00,2021,9,38,3,838.88,868.82,888.72,829.7,3952600,790520.0,0.03569,0.040946,0.290685,5,0.017393,-0.022225
ASML,2021-09-27 00:00:00,2021,10,39,4,745.0,741.81,745.0,728.37,1180400,1180400.0,-0.004282,,,1,-0.004429,-0.004429
ASML,2021-09-27 00:00:00,2021,9,39,3,843.28,745.11,847.88,742.29,6748800,1687200.0,-0.116414,0.053852,0.382312,4,-0.007076,-0.066011
ASML,2021-10-04 00:00:00,2021,10,40,4,728.9,730.27,753.67,709.03,6145200,1229040.0,0.00188,0.06255,0.444059,5,0.027955,-0.038918
ASML,2021-10-11 00:00:00,2021,10,41,4,722.78,789.4,789.64,721.36,4988800,997760.0,0.092172,0.048449,0.343956,5,0.045499,-0.011475
ASML,2021-10-18 00:00:00,2021,10,42,4,774.09,800.97,808.8,758.24,6243800,1248760.0,0.034725,0.060161,0.427101,5,0.025869,-0.041525
ASML,2021-10-25 00:00:00,2021,10,43,4,799.69,812.88,821.92,784.19,3748500,749700.0,0.016494,0.027293,0.193764,5,0.015218,-0.015643
ASML,2021-11-01 00:00:00,2021,11,44,4,806.91,847.0,854.64,796.48,3437800,687560.0,0.049683,0.032504,0.230758,5,0.024662,-0.00668
ASML,2021-11-08 00:00:00,2021,11,45,4,855.51,851.63,856.95,815.11,3089500,617900.0,-0.004535,0.053364,0.378848,5,0.021886,-0.03788
ASML,2021-11-15 00:00:00,2021,11,46,4,855.0,857.17,881.12,847.24,3522300,704460.0,0.002538,0.038632,0.274259,5,0.022875,-0.024968
ASML,2021-11-22 00:00:00,2021,11,47,4,855.0,782.02,859.66,776.01,4106800,1026700.0,-0.085357,0.028021,0.198927,4,-0.006304,-0.036655
ASML,2021-11-29 00:00:00,2021,11,48,4,795.01,791.51,821.35,787.15,2555200,1277600.0,-0.004402,0.112292,0.797198,2,0.042186,-0.028834
ASML,2021-11-29 00:00:00,2021,12,48,4,812.56,771.52,832.68,759.84,3273900,1091300.0,-0.050507,0.046977,0.333504,3,0.01578,-0.022625
ASML,2021-12-06 00:00:00,2021,12,49,4,758.88,781.84,809.4,741.4,4069400,813880.0,0.030255,0.088746,0.630032,5,0.065601,-0.038947
ASML,2021-12-13 00:00:00,2021,12,50,4,780.57,749.87,799.84,743.25,5031800,1006360.0,-0.03933,0.080085,0.568544,5,0.050146,-0.046982
ASML,2021-12-20 00:00:00,2021,12,51,4,747.6,801.41,805.72,744.45,2516600,629150.0,0.071977,0.035526,0.25221,4,0.040059,0.004014
ASML,2021-12-27 00:00:00,2021,12,52,4,794.4,796.14,817.3,794.36,2129200,425840.0,0.00219,0.017964,0.127534,5,0.012503,-0.008208
ASML,2022-01-03 00:00:00,2022,1,1,1,795.74,756.1,799.36,729.81,6192400,1238480.0,-0.049815,0.056025,0.397736,5,0.023402,-0.043019
